"State.Code","2022-01-03","2022-01-04","2022-01-05","2022-01-07","2022-01-10","2022-01-11","2022-01-12","2022-01-13","2022-01-14","2022-01-19","2022-01-21","2022-01-24","2022-01-25","2022-01-26","2022-01-27","2022-01-28","2022-02-01","2022-02-04","2022-02-07"
"PA",0,19.0561808440949,39.8255405079176,40.1619180843938,47.5622247668708,52.1385243538148,58.780025805636,64.6705447611383,88.5298844879402,114.775158187422,155.680236033799,163.675070525861,168.689443235658,162.736342405463,166.937150744247,161.985359909144,165.795031531095,170.214876431306,169.143161827184
"AR",0,0,0,0,28.0149756378604,35.6044272240888,40.7190576408949,38.8711911677262,33.6575679041432,46.4276451383623,74.5416136229996,88.3016193249876,86.5197480830035,85.8267981555653,80.5471796607977,75.9935087090607,76.0595039402453,133.079383683735,136.082166702634
"OR",0.471530519695005,0.943061039390009,0.471530519695005,0.471530519695005,0.943061039390009,2.68772396226153,3.15925448195653,4.00800941740754,5.1161061386908,4.9274939308128,15.0889766302401,26.0992142651185,28.9519739092733,30.6023307282058,36.4728856984086,36.0485082306831,40.9288491095264,43.4751139158794,44.8897054749644
"VA",0,0,0,0,0,2.79376334240259,12.956077500392,28.7408403849666,47.459054779064,181.745946103882,108.793800825394,108.304892240474,123.752075387841,120.446122099332,123.996529680302,125.48653679625,128.198815374499,171.571991265299,174.645130941942
"FL",0,0,0,0,0,0,0,2.53067733072621,2.5260760992158,73.6795201762161,73.5598881569454,73.6887226392369,73.5138758418413,73.9417903723096,73.8543669736117,73.7853485009556,74.5491529316839,74.7378034236107,75.1059019444436
"GA",0,13.5200532361433,6.66665608467288,13.6320978762219,47.1054340996844,51.9420277297412,58.1885164141196,58.3939315875969,66.1716970197153,75.5927838396522,73.7066990649968,106.414396914589,102.884990752116,105.013838913608,125.004470114286,124.126787100338,123.669271486684,122.194017058983,147.525442770072
"HI",0,0,0,0,0,14.2145804637649,39.8008252985417,39.8008252985417,46.9081155304242,58.1376340967985,70.859683611868,70.859683611868,70.7175378072304,52.1675103020172,52.1675103020172,59.3458734362185,59.2748005338996,47.6188445536124,51.8832186927419
"IA",0,0,0,0,0,0,4.42539277731645,44.2855377215739,44.5068073604397,53.2943730182538,134.753210069286,146.354061135537,147.555239175094,150.684624067625,276.334168995003,146.037961651443,147.808118762369,158.239401737472,160.357268280902
"ID",0,0,8.75794304381216,18.3916803920055,29.8317434929852,39.2465322650832,38.9181094009403,53.8613497194448,59.1708526897559,54.1350354395639,78.8214873943094,78.3835902421188,95.5710534656002,94.7499963052428,93.5457791367186,92.2868248241706,86.7036361337404,159.558774829453,173.078849403338
"IL",0,26.0098684968377,16.0873499407747,15.9443512746345,18.3276623769715,25.1280433889731,28.9413411527122,31.1657648482268,69.9263477425674,76.599618829111,96.1030480165688,119.054333932074,132.226099957657,133.433644249507,144.849704429701,158.355134009611,166.164450054935,145.056258058571,156.543817571835
"KS",0,0,0,0,0,0,0,0,68.1583016022006,67.6091914180942,68.4671760807604,67.4719138720676,66.6139292094014,66.0991384118017,66.7855261419347,70.1488260195861,68.6387730132936,94.5842292123186,185.324687135893
"ME",0,0,0,0,66.6597044308705,66.6597044308705,66.6597044308705,66.6597044308705,133.467541538254,149.836202292946,149.688069616433,149.614003278176,162.575612473068,162.501546134811,162.279347120042,162.279347120042,161.538683737476,162.94594416435,165.242000650302
"MS",0,0,0,0,0,16.5836025921654,29.4594891576271,37.2119863043711,95.052356320948,131.320560363976,147.769336918807,151.544465964178,152.353422188186,151.847824548181,152.623074262855,148.140108521477,214.373399362138,223.608982919563,222.698907167554
"MT",0,0,7.4034520446021,7.4034520446021,7.4034520446021,15.7323355947795,20.2669499720982,30.6317828345412,39.1457526858336,84.6769827601365,106.23953684004,111.607039572377,108.553115603978,108.368029302863,107.720227248961,109.663633410669,111.607039572377,126.043771059351,135.853345018448
"NJ",0,45.0555375360926,32.8628470934168,32.7390062855965,47.8701013501913,68.101186045933,68.101186045933,74.3044846922066,82.1402303506575,78.0084506715606,82.5117527741185,135.650717584303,162.850662283753,146.40235135416,159.191729325424,172.363887975407,173.557263032584,193.101594157686,234.059126780451
"NM",0,290.554279764841,144.517520850356,157.763377721988,38.7405706353121,38.5981420668,38.5981420668,38.4557134982878,38.2183325507675,38.1233801717594,51.4167132328959,50.3247608743025,109.812426322888,100.886902696125,105.349664509507,107.438616847685,114.607521462798,128.42309260848,136.161711497641
"SC",0,36.0288537458509,17.9952625890181,9.12219913990694,44.7102743558884,71.6935860974619,71.6360932457398,70.5628933469272,106.170132846816,184.03461836245,191.68116764149,193.080160366728,182.386489946417,176.004783405263,160.443384872481,157.511249434654,156.648856658822,164.946991590712,164.946991590712
"TN",0,0,0,0,57.660748030227,56.2958247577915,51.8816048128937,52.462423226696,38.9874360264818,27.8647634021671,88.6474104065816,96.2996930084274,79.7173272943707,74.4173592684244,61.1166175923509,61.1166175923509,47.22053704213,48.4257352507698,42.5304283506761
"WI",0,0,0,0,0,24.6885852154808,55.4978821822995,59.1325905612453,73.8257277346251,73.585699822808,127.214793263102,130.472314923478,134.947120993784,135.958667193585,145.028293290105,250.434836279533,197.371522917094,213.127640842807,218.339675499408
"AK",NA,13.6769343972165,9.57385407805153,20.5154015958247,23.250788475268,28.7215622341546,31.4569491135979,50.4678879257288,47.5957317023133,60.7255887236411,65.7860544506112,92.5928458691555,120.083484007561,119.673175975644,115.433326312507,115.296556968535,121.587946791254,159.746593759488,164.943828830431
"AL",NA,0,0,0,0,0,46.4895890141525,46.4895890141525,60.5299325494582,57.3805067202652,56.831897059696,79.6703140404248,101.350555071063,99.6234505840864,97.4696496944447,103.057340681723,93.4058744309699,123.965464412301,121.567837006851
